1,::ffff:127.0.0.1,f,3,2024-07-09 18:02:49.69297
2,::ffff:127.0.0.1,t,3,2024-07-09 18:03:22.295002
3,::ffff:127.0.0.1,t,3,2024-07-09 18:04:29.272157
4,84.54.73.111,t,3,2024-07-09 18:06:16.250729
5,84.54.73.111,t,3,2024-07-09 18:07:49.97329
6,84.54.73.111,t,5,2024-07-09 18:08:26.222373
7,84.54.73.111,t,5,2024-07-09 18:10:39.294347
8,84.54.73.111,f,5,2024-07-09 18:12:07.755243
9,84.54.73.111,f,5,2024-07-09 18:15:46.094821
10,84.54.73.111,t,5,2024-07-09 18:15:55.659396
11,84.54.73.111,t,5,2024-07-09 18:16:01.866101
12,84.54.73.111,t,5,2024-07-09 18:27:02.975011
13,::ffff:127.0.0.1,t,5,2024-07-10 13:41:16.727572
